Version,Type,Class file format version[8],Release date,End of public updates (free),End of extended support (paid),,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Released,"21 September 2017
(7 years ago)",,,,,,
# of JEPs,9,,,,,,
Support ended,,,,,,,
Public,March 2018,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Released,"20 March 2018
(7 years ago)",,,,,,
# of JEPs,12,,,,,,
Support ended,,,,,,,
Public,September 2018,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
LTS version,,,,,,,
Released,"25 September 2018
(6 years ago)",,,,,,
# of JEPs,17,,,,,,
Removal(s),,,,,,,
Notable,"Java applets, Java Web Start, JavaFX, JavaEE, and CORBA modules",,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Released,"19 March 2019
(6 years ago)",,,,,,
# of JEPs,8,,,,,,
Addition(s),,,,,,,
Preview(s),Enhanced switch statements,,,,,,
Support ended,,,,,,,
Public,September 2019,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Released,"17 September 2019
(5 years ago)",,,,,,
# of JEPs,5,,,,,,
Addition(s),,,,,,,
Preview(s),"Enhanced switch statements, text blocks",,,,,,
Support ended,,,,,,,
Public,March 2023[325],,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Released,"17 March 2020
(5 years ago)",,,,,,
# of JEPs,16,,,,,,
Addition(s),,,,,,,
Notable,"Helpful NullPointerExceptions, enhanced switch statements",,,,,,
Preview(s),"Pattern matching for instanceof, records, text blocks",,,,,,
Incubating,"jpackager, Foreign memory access",,,,,,
Removal(s),,,,,,,
Notable,Remove Concurrent Mark Sweep garbage collector,,,,,,
Support ended,,,,,,,
Public,September 2020,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Released,"15 September 2020
(4 years ago)",,,,,,
# of JEPs,14,,,,,,
Addition(s),,,,,,,
Notable,"Hidden classes, ZGC (garbage collector), Shenandoah (garbage collector), text blocks",,,,,,
Preview(s),"Sealed classes, pattern matching of instanceof, records",,,,,,
Incubating,Foreign-memory access,,,,,,
Removal(s),,,,,,,
Notable,"JavaScript engine, Solaris and SPARC ports",,,,,,
Support ended,,,,,,,
Public,March 2023[325],,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Released,"16 March 2021
(4 years ago)",,,,,,
# of JEPs,17,,,,,,
Addition(s),,,,,,,
Notable,"Windows/AArch64 Port, jpackager, pattern matching for instanceof, records",,,,,,
Preview(s),Sealed classes,,,,,,
Incubating,"Foreign linker, Foreign-memory access",,,,,,
Support ended,,,,,,,
Public,September 2021,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
LTS version,,,,,,,
Released,"14 September 2021
(3 years ago)",,,,,,
# of JEPs,14,,,,,,
Addition(s),,,,,,,
Notable,"macOS/AArch64 Port, sealed classes",,,,,,
Preview(s),Switch pattern matching,,,,,,
Incubating,"Vector API, Foreign function & memory API",,,,,,
Removal(s),,,,,,,
Notable,"AOT compiler, RMI activation, strictfp keyword made obsolete (JEP 306)",,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Released,"22 March 2022
(3 years ago)",,,,,,
# of JEPs,9,,,,,,
Addition(s),,,,,,,
Notable,"UTF by default
Javadoc code snippets",,,,,,
Preview(s),Switch pattern matching,,,,,,
Incubating,"Vector API
Foreign function & memory API",,,,,,
Removal(s),,,,,,,
Notable,Deprecated finalization for removal,,,,,,
Support ended,,,,,,,
Public,September 2022,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Released,"20 September 2022
(2 years ago)",,,,,,
# of JEPs,7,,,,,,
Addition(s),,,,,,,
Preview(s),"Foreign function & memory API
Switch pattern matching",,,,,,
Incubating,"Vector API
Structured concurrency",,,,,,
Support ended,,,,,,,
Public,March 2023,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Released,"21 March 2023
(2 years ago)",,,,,,
# of JEPs,7,,,,,,
Addition(s),,,,,,,
Incubating,Scoped values,,,,,,
Support ended,,,,,,,
Public,September 2023,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
LTS version,,,,,,,
Released,"19 September 2023
(18 months ago)",,,,,,
# of JEPs,15,,,,,,
Addition(s),,,,,,,
Notable,"Record patterns, pattern matching for switch, virtual threads",,,,,,
Preview(s),"String templates, unnamed classes and main methods",,,,,,
Incubating,Vector API,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Released,"19 March 2024
(12 months ago)",,,,,,
# of JEPs,12,,,,,,
Addition(s),,,,,,,
Notable,"Foreign function and memory API, unnamed variables and patterns",,,,,,
Preview(s),"Structured concurrency, string templates",,,,,,
Incubating,Vector API,,,,,,
Support ended,,,,,,,
Public,September 2024,,,,,,
Released,"17 September 2024
(6 months ago)",,,,,,
# of JEPs,12,,,,,,
Addition(s),,,,,,,
Notable,Markdown documentation comments,,,,,,
Preview(s),"Primitive types in Patterns, instanceof, and switch, Class-File API, Stream Gatherers, Module import declarations, Implicitly declared classes and instance main methods, structured concurrency, scoped values, flexible constructor bodies",,,,,,
Incubating,Vector API,,,,,,
Released,"18 March 2025
(5 days ago)",,,,,,
# of JEPs,24,,,,,,
LTS version,,,,,,,
Releasing,"September 2025
(6 months' time)",,,,,,
# of JEPs,0,,,,,,
"show
vte
Java (software platform)",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
